sense1;sense2
As the weeks passed, he put on weight, removed the fatty tissue from his cheekbones, thickened his cheeks enough to remove the gauntness, and restored his complexion to a healthier hue.; He dabbed at his forehead with a large floral-patterned tissue.
Then the terrifying drrrnngg of the pain-making aura that seared every nerve ending without numbing or damaging tissue.; Durlston took a tissue and flicked the seat, then he sat down with his jacket on, looking cool and calm and impeccable.
Tooth enamel was long thought to be dead tissue, for instance.; Both had been torn loose from their mountings and wadded into the nose like so much tissue paper, crushing the instrument panel.
And then the news was broken to everyone about the culturing of the scar tissue, and there were a few dissenters but they were soon conditioned out of their dissension and the population was stabilized.; Magnan trailed, mopping at his face with a scented tissue.
See that your damaged tissues are repaired as fully as possible.; Turning her back on Adam, she lifted the lid of the top box, pulled aside the tissue paper and carefully drew out a garland of stephanotis.
But she had flicked scar tissue and I answered almost sharply, "I am not employee of Warden."; Chuck turned his large frame and caromed a box of tissues off Steve's left shoulder.
Sidis grin was sagging, hooked up on the bad side by twisted scar tissue.; He took a clean issue tissue tunic from the wall dispenser.
It puffed around his face, stinging the skin tissues there, a pink mist that went into his lungs.; Inside each was a multitude of tiny compartments, each with a bit of something wrapped in cloth or paper tissue.
Alfieri's heart pumped Alfieri's blood through the new tissue.; I did not want to shoot Mr. Castile at all,  Yanez said as he took off his glasses and wiped away tears with a tissue.
You pump air into the wing, and the tissue -- skin, cells, stiffeners and all -- absorbs it and stores it as semistable compounds.; He'd run out of tissues, and his nose was a continual drip, while breathing seemed almost impossible.
But the optic nerve is brain tissue, not ordinary nerve tissue.; He wiped his nose and reached for a fresh tissue.
I wouldn't be surprised if you could rupture lung tissues that way.; He wiped his brow with a paper tissue.
They don't expend themselves futilely trying to get rid of what they consider invading tissue.; Finished, he climbed over the rail and joined Wenzl, mopping his brow with a tissue.
Organs and tissues for later transplants can be more readily preserved.; He sneezed as the dry air caught the tissue of his nostrils.
After that, the tissues of the lungs are exposed to emptiness and begin to release their liquids through surface boiling, with fatal and agonizing results.; She quickly stuffed the tissue in the disposal and sat up, touching her blond hair lightly with her hands.
I strained with every bit of muscle tissue to no useful end.; She didn't want a tissue or a cup of water from the cooler or anything at all.
I could almost feel cartilage tear and muscle tissues pop.; Winston followed her around the room, collecting the small frail objects (Christmas, birthday, and anniversary) and wrapping them in tissue paper.
His vision was blurring, shot through with red, his lungs ached, his tissues screamed their torture.; Winston folded the tissue paper carefully.
"Do you choose to experience the destruction of your body's tissues?"; Ben winced as she unwrapped the bloody tissue and wiped the slash with anesthetic, then turned his attention to the pen and paper the Deskman was offering, and almost laughed.
Ms. Armul says there is also some evidence that a ketogenic diet breaks down muscle tissue for energy.; Tissue paper production and consumption is predicted to continue to grow because of factors like urbanization, increasing disposable incomes and consumer spending.
But despite the advances of medicine through the centuries there still wasn't any way for our techs to get blood or several other kinds of tissue samples out of a humanoid body without poking it with a syringe or punch.; Japanese tissue may be made from one of three plants, the kōzo plant (Broussonetia papyrifera, paper mulberry tree), the mitsumata (Edgeworthia chrysantha) shrub and the gampi tree (Diplomorpha sikokiana).
In experiments they have used a plug of tissues consisting mainly of blood vessels.; The tissue paper might be treated with softeners, lotions or added perfume to get the right properties or "feeling".
We cannot establish the significance of the multiple substances  that were detected in Ms. Fisher's blood and tissue with regard to the cause of death.; Orchids Paper Products Company is a manufacturer of tissue products serving the at-home tissue market. 
Meningitis is the inflammation of tissue surrounding the brain and spinal cord, which can be caused by viral or bacterial infections.; For example, common mistakes include putting tissue boxes in the recycling bin without first removing the plastic insert.
“For most dinosaurs that I looked at, there would have been a substantial amount of physiologically active soft tissues in their noses,” said Bourke.; The underlying demand for dissolving pulp, packaging, office paper and tissue, in South Africa, and speciality papers abroad, remains strong, driven by global sustainability trendsThe underlying demand for dissolving pulp, packaging, office paper and tissue, in South Africa, and speciality papers abroad, remains strong, driven by global sustainability trends.
